what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_17",1268990238612
java.vm.info,sysinfo,,,"mixed mode",1268990238612
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1268990238612
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1268990238612
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268990238612
java.vm.specification.version,sysinfo,,,"1.0",1268990238612
java.vm.vendor,sysinfo,,,"Apple Inc.",1268990238612
java.vm.version,sysinfo,,,"14.3-b01-101",1268990238612
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1268990238840
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1268990239139
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1268990239724
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268990240208
